"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"ST_REELEICAO";"DS_SITUACAO_JULGAMENTO_URNA";"TOTAL_VOTOS";"DS_SIT_TOT_TURNO";"RECEITA_TOTAL";"FONTE_RECEITA";"ORIGEM_RECEITA";"BENS_TOTAL"
250002075174;"MARCELO FRANCISCO DE ALMEIDA";"#NULO";"PRD";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"#NE";"N";"DEFERIDO";442;"NÃO ELEITO";10000;"FUNDO ESPECIAL";"Recursos de partido político";195006
250002075146;"JANDERSON MARIANO";"#NULO";"PRD";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"POLICIAL MILITAR";"#NE";"N";"DEFERIDO";477;"NÃO ELEITO";21058;"FUNDO ESPECIAL, OUTROS RECURSOS";"Recursos de partido político, Recursos próprios";310228,16
250002075156;"LINDINALVA DO CARMO LIMA";"#NULO";"PRD";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PRETA";"DONA DE CASA";"#NE";"N";"DEFERIDO";221;"NÃO ELEITO";40000;"FUNDO ESPECIAL";"Recursos de partido político";NA
250002075163;"LENIR MARIA DE OLIVEIRA";"#NULO";"PRD";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"DONA DE CASA";"#NE";"N";"DEFERIDO";100;"NÃO ELEITO";25000;"FUNDO ESPECIAL";"Recursos de partido político";2410,45
250002181654;"ELIANE FRANCESCONI";"#NULO";"PSDB";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"EMPRESÁRIO";"#NE";"N";"DEFERIDO";353;"NÃO ELEITO";5845,42;"OUTROS RECURSOS, FUNDO PARTIDARIO";"Recursos de pessoas físicas, Recursos de outros candidatos, Recursos de partido político, Recursos próprios";885146,91
250002181653;"ADAO MARIANO APARECIDO";"#NULO";"PSDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"#NE";"N";"DEFERIDO";2246;"NÃO ELEITO";0;"#NULO";"#NULO";NA
250002181648;"ARMANDO RUFINO BARBOSA NETO";"#NULO";"PSDB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA";"#NE";"N";"DEFERIDO";167;"NÃO ELEITO";2499,42;"FUNDO PARTIDARIO, OUTROS RECURSOS";"Recursos de partido político, Recursos de outros candidatos, Recursos próprios";19000
250002181674;"SOLANGE DA SILVA SCAPELLE AZEVEDO";"#NULO";"PSDB";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"SUPERVISOR, INSPETOR E AGENTE DE COMPRAS E VENDAS";"#NE";"N";"DEFERIDO";334;"NÃO ELEITO";7721,2;"FUNDO PARTIDARIO, FUNDO ESPECIAL";"Recursos de outros candidatos, Recursos de partido político";321971
250002181672;"FRANCISCO ANTONIO CAMURÇA DE CARVALHO";"#NULO";"PSDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ENGENHEIRO";"#NE";"N";"DEFERIDO";676;"NÃO ELEITO";13000;"OUTROS RECURSOS";"Recursos próprios, Recursos de pessoas físicas";4231884,01
250001973482;"DIEGO LUIZ DE CASTRO";"#NULO";"PL";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PARDA";"OUTROS";"#NE";"N";"DEFERIDO";675;"SUPLENTE";55000;"FUNDO ESPECIAL";"Recursos de partido político";6447,81
250001973473;"DAVID ZYLBERGELD NETO";"#NULO";"PL";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"MÉDICO";"#NE";"N";"DEFERIDO";999;"SUPLENTE";500010;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos próprios, Recursos de partido político";3154621,96
250001973514;"MARCIO APARECIDO DOS SANTOS";"#NULO";"PL";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"PARDA";"EMPRESÁRIO";"#NE";"N";"DEFERIDO";441;"SUPLENTE";52880;"FUNDO ESPECIAL, OUTROS RECURSOS";"Recursos de partido político, Recursos de pessoas físicas";38432,16
250001973472;"FABIO LUIZ DOMINIQUINI";"#NULO";"PL";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"EMPRESÁRIO";"#NE";"N";"DEFERIDO";1732;"SUPLENTE";506315,24;"FUNDO ESPECIAL, OUTROS RECURSOS";"Recursos de partido político, Recursos próprios, Recursos de pessoas físicas";3422000
