"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"ST_REELEICAO";"nome_key";"BENS_TOTAL";"TOTAL_VOTOS";"DS_SIT_TOT_TURNO";"Nome.candidato";"RECEITA_TOTAL";"FONTE_RECEITA";"ORIGEM_RECEITA"
250000010899;"MARISA RITA RIELLO DEPPMAN";"#NULO#";"PHS";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADVOGADO";"APTO";"N";"MARISA RITA RIELLO DEPPMAN";973062,87;2951;"SUPLENTE";"MARISA RITA RIELLO DEPPMAN";25476,6;"Fundo Partidario, Outros Recursos";"Recursos de partido político, Recursos de outros candidatos, Recursos de pessoas físicas"
250000022095;"MARIA RENELDA DA SILVA";"#NULO#";"PT";"FEMININO";"ENSINO FUNDAMENTAL INCOMPLETO";"SOLTEIRO(A)";"PRETA";"AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS";"APTO";"N";"MARIA RENELDA DA SILVA";50000;85;"SUPLENTE";"MARIA RENELDA DA SILVA";9727,27;"Outros Recursos, Fundo Partidario";"Recursos de outros candidatos, Recursos de partido político"
250000027298;"RICARDO CORDEIRO GALINDO";"#NULO#";"PRP";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS";"APTO";"N";"RICARDO CORDEIRO GALINDO";NA;1025;"NÃO ELEITO";NA;NA;NA;NA
250000022127;"VAGNER SANTOS DE JESUS";"#NULO#";"PR";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PRETA";"EMPRESÁRIO";"APTO";"N";"VAGNER SANTOS DE JESUS";NA;667;"SUPLENTE";NA;NA;NA;NA
250000027285;"ITAMAR SENA";"#NULO#";"PRP";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"PARDA";"OUTROS";"APTO";"N";"ITAMAR SENA";NA;199;"NÃO ELEITO";NA;NA;NA;NA
250000004991;"SALOMÃO PEREIRA DA SILVA";"#NULO#";"PSDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"JORNALISTA E REDATOR";"APTO";"S";"SALOMÃO PEREIRA DA SILVA";628016,28;8427;"SUPLENTE";"SALOMÃO PEREIRA DA SILVA";229422;"Outros Recursos, Fundo Partidario";"Recursos de outros candidatos, Recursos próprios, Recursos de pessoas físicas"
250000011013;"DALTON SILVANO DO AMARAL";"#NULO#";"DEM";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"PUBLICITÁRIO";"APTO";"S";"DALTON SILVANO DO AMARAL";2788922,91;24461;"SUPLENTE";"DALTON SILVANO DO AMARAL";476192,87;"Outros Recursos, Fundo Partidario";"Recursos de outros candidatos, Recursos próprios, Recursos de pessoas físicas, Recursos de partido político"
250000011655;"DELMA RIGO ROCHA CARDOSO";"#NULO#";"PV";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"BIÓLOGO";"APTO";"N";"DELMA RIGO ROCHA CARDOSO";NA;311;"SUPLENTE";NA;NA;NA;NA
250000006186;"FERNANDO QUARESMA DE AZEVEDO";"#NULO#";"PC do B";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADVOGADO";"APTO";"N";"FERNANDO QUARESMA DE AZEVEDO";1420000;320;"NÃO ELEITO";"FERNANDO QUARESMA DE AZEVEDO";13312,5;"Outros Recursos";"Recursos próprios, Recursos de partido político"
250000010835;"NELSON CHANG PYO HONG";"#NULO#";"PPS";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"AMARELA";"ADVOGADO";"APTO";"N";"NELSON CHANG PYO HONG";493043,01;2877;"SUPLENTE";"NELSON CHANG PYO HONG";14703,6;"Outros Recursos";"Recursos de outros candidatos, Recursos próprios"
250000027300;"ELSO MARQUES DE ARAUJO";"#NULO#";"PRP";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"PARDA";"BANCÁRIO E ECONOMIÁRIO";"APTO";"N";"ELSO MARQUES DE ARAUJO";NA;669;"NÃO ELEITO";NA;NA;NA;NA
250000006192;"JOÃO ANTONIO DONIZZETTI CARVALHO";"#NULO#";"PC do B";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"PROFESSOR DE ENSINO MÉDIO";"APTO";"N";"JOÃO ANTONIO DONIZZETTI CARVALHO";189000;1515;"NÃO ELEITO";"JOÃO ANTONIO DONIZZETTI CARVALHO";5378,49;"Outros Recursos";"Recursos próprios, Recursos de pessoas físicas, Recursos de partido político"
250000038356;"TALITA EYMAEL LATAES";"#NULO#";"PSDC";"FEMININO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"PSICÓLOGO";"APTO";"N";"TALITA EYMAEL LATAES";19000;309;"NÃO ELEITO";"TALITA EYMAEL LATAES";6613,66;"Outros Recursos, Fundo Partidario";"Recursos de pessoas físicas, Recursos de partido político, Recursos de outros candidatos"
250000011624;"GILBERTO TANOS NATALINI";"#NULO#";"PV";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"VEREADOR";"APTO";"S";"GILBERTO TANOS NATALINI";626093,69;28006;"ELEITO POR QP";"GILBERTO TANOS NATALINI";179295,8;"Outros Recursos, Fundo Partidario";"Recursos de outros candidatos, Recursos próprios, Recursos de pessoas físicas"
250000027319;"JOSE ROBERTO RODRIGUES DE SOUZA";"#NULO#";"PTC";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";"N";"JOSE ROBERTO RODRIGUES DE SOUZA";487000;1211;"NÃO ELEITO";NA;NA;NA;NA
250000040572;"FABIANA FRANCHINI";"#NULO#";"SD";"FEMININO";"SUPERIOR INCOMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";"N";"FABIANA FRANCHINI";NA;140;"NÃO ELEITO";NA;NA;NA;NA
250000011670;"CELIO CARLOS GOMES DE SOUSA";"#NULO#";"PV";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"OUTROS";"APTO";"N";"CELIO CARLOS GOMES DE SOUSA";NA;870;"SUPLENTE";NA;NA;NA;NA
250000027325;"PAULO EMENDABILI SOUZA BARROS DE CARVALHOSA";"#NULO#";"PTC";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADVOGADO";"APTO";"N";"PAULO EMENDABILI SOUZA BARROS DE CARVALHOSA";2828000;380;"NÃO ELEITO";NA;NA;NA;NA
250000010992;"ELISEU GABRIEL DE PIERI";"#NULO#";"PSB";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"VEREADOR";"APTO";"S";"ELISEU GABRIEL DE PIERI";1945827,84;52355;"ELEITO POR QP";"ELISEU GABRIEL DE PIERI";566797,47;"Outros Recursos";"Recursos de outros candidatos, Recursos próprios, Recursos de pessoas físicas"
250000011002;"ADRIANO DE ALMADA MESSIAS";"#NULO#";"PP";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADVOGADO";"APTO";"N";"ADRIANO DE ALMADA MESSIAS";949406,81;898;"SUPLENTE";"ADRIANO DE ALMADA MESSIAS";4021,7;"Outros Recursos";"Recursos próprios, Recursos de pessoas físicas, Recursos de outros candidatos"
250000022098;"PAULO BATISTA DOS REIS";"#NULO#";"PT";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"PRETA";"VEREADOR";"APTO";"S";"PAULO BATISTA DOS REIS";671888,89;29308;"ELEITO POR QP";"PAULO BATISTA DOS REIS";347904,7;"Outros Recursos, Fundo Partidario";"Recursos de partido político, Recursos próprios, Recursos de pessoas físicas"
250000094300;"MARIA VANDA DOS SANTOS";"#NULO#";"PROS";"FEMININO";"ENSINO FUNDAMENTAL COMPLETO";"SOLTEIRO(A)";"BRANCA";"PORTEIRO DE EDIFÍCIO, ASCENSORISTA, GARAGISTA E ZELADOR";"APTO";"N";"MARIA VANDA DOS SANTOS";NA;80;"SUPLENTE";"MARIA VANDA DOS SANTOS";500;"Fundo Partidario";"Recursos de partido político"
250000011630;"JAMES DEL TEDESCO LOSACCO";"#NULO#";"PV";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ODONTÓLOGO";"APTO";"N";"JAMES DEL TEDESCO LOSACCO";9900;1649;"SUPLENTE";NA;NA;NA;NA
250000019144;"FLAVIANE MENESES FREITAS";"#NULO#";"PTB";"FEMININO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"PARDA";"COMERCIANTE";"APTO";"N";"FLAVIANE MENESES FREITAS";18000;218;"SUPLENTE";NA;NA;NA;NA
250000008359;"JOSE ROBSON CORDEIRO MELGAÇO";"#NULO#";"PRB";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"SOLTEIRO(A)";"BRANCA";"TAXISTA";"APTO";"N";"JOSE ROBSON CORDEIRO MELGAÇO";NA;540;"SUPLENTE";NA;NA;NA;NA
250000010856;"WALDEMAR DOS SANTOS MARTINS";"#NULO#";"PPS";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";"N";"WALDEMAR DOS SANTOS MARTINS";30000;149;"SUPLENTE";NA;NA;NA;NA
250000011681;"EDMAR MARQUES SILVA";"#NULO#";"PV";"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"DIVORCIADO(A)";"PRETA";"MÚSICO";"APTO";"N";"EDMAR MARQUES SILVA";NA;648;"SUPLENTE";NA;NA;NA;NA
250000040598;"MARIA NILVA SEVERINO GONÇALVES";"#NULO#";"SD";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"PROFESSOR DE ENSINO MÉDIO";"APTO";"N";"MARIA NILVA SEVERINO GONÇALVES";2205000;1258;"NÃO ELEITO";"MARIA NILVA SEVERINO GONÇALVES";20739,51;"Fundo Partidario";"Recursos de partido político"
250000050145;"ALMIR RIBEIRO DOS SANTOS";"#NULO#";"PSL";"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"ADMINISTRADOR";"APTO";"N";"ALMIR RIBEIRO DOS SANTOS";NA;1348;"NÃO ELEITO";NA;NA;NA;NA
250000040586;"MARCIO PIMENTEL BENVENUTO";"#NULO#";"SD";"MASCULINO";"SUPERIOR INCOMPLETO";"CASADO(A)";"BRANCA";"TRABALHADOR DE ARTES GRÁFICAS";"APTO";"N";"MARCIO PIMENTEL BENVENUTO";NA;246;"NÃO ELEITO";NA;NA;NA;NA
250000010850;"GIULIANO FIORETTI";"#NULO#";"PPS";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"MÉDICO";"APTO";"N";"GIULIANO FIORETTI";509000;2756;"SUPLENTE";"GIULIANO FIORETTI";100,57;"Outros Recursos";"Recursos próprios, Recursos de partido político"
250000005000;"ANDRÉA CRISTINA RIBEIRO DOS SANTOS";"#NULO#";"PSDB";"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"DONA DE CASA";"APTO";"N";"ANDRÉA CRISTINA RIBEIRO DOS SANTOS";350000;562;"SUPLENTE";NA;NA;NA;NA
250000011677;"ADEMIR NICACIO DA SILVA";"#NULO#";"PV";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"EMPRESÁRIO";"APTO";"N";"ADEMIR NICACIO DA SILVA";NA;477;"SUPLENTE";NA;NA;NA;NA
