"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"BENS_TOTAL";"TOTAL_VOTOS";"DS_SIT_TOT_TURNO";"RECEITA_TOTAL";"FONTE_RECEITA";"ORIGEM_RECEITA";"ST_REELEICAO"
250000919224;"IZABEL OLIVEIRA DE JESUS";"#NULO";"PSDB";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"ENFERMEIRO";"APTO";39000;158;"SUPLENTE";7317,07;"FUNDO PARTIDARIO";"Recursos de partido político";"N"
250000919245;"CHUKS ILOEGBUNAM";"#NULO";"PSDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL";"APTO";68802,64;200;"SUPLENTE";7417,07;"OUTROS RECURSOS, FUNDO PARTIDARIO";"Recursos de Financiamento Coletivo, Recursos de partido político";"N"
250000919248;"ROGÉRIO DE JESUS";"#NULO";"PSDB";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES";"APTO";NA;288;"SUPLENTE";7317,07;"FUNDO PARTIDARIO";"Recursos de partido político";"N"
250000919204;"JOSÉ REGINALDO NAZELO DE ALVARENGA TRIPOLI";"#NULO";"PSDB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"EMPRESÁRIO";"APTO";19607,24;30495;"ELEITO POR QP";656567,07;"OUTROS RECURSOS, FUNDO PARTIDARIO";"Recursos de pessoas físicas, Recursos de partido político";"N"
250000919180;"JOSENALDO GUSTAVO DE PONTES";"#NULO";"PSDB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";NA;255;"SUPLENTE";7317,07;"FUNDO PARTIDARIO";"Recursos de partido político";"N"
250000919229;"MONICA FORNI CACCIA GOUVEIA";"#NULO";"PSDB";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADVOGADO";"APTO";69900;556;"SUPLENTE";7317,07;"FUNDO PARTIDARIO";"Recursos de partido político";"N"
250000919227;"ROSEMARA LEANDRO DA SILVA";"#NULO";"PSDB";"FEMININO";"SUPERIOR COMPLETO";"VIÚVO(A)";"PRETA";"ENFERMEIRO";"APTO";1668,66;1303;"SUPLENTE";7317,07;"FUNDO PARTIDARIO";"Recursos de partido político";"N"
250000919246;"LEANDRO MORAIS DA CONCEIÇÃO";"#NULO";"PSDB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";NA;176;"SUPLENTE";7317,07;"FUNDO PARTIDARIO";"Recursos de partido político";"N"
250000919178;"JOÃO BATISTA SILVA";"#NULO";"PSDB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";NA;98;"SUPLENTE";7631,07;"OUTROS RECURSOS, FUNDO PARTIDARIO";"Recursos próprios, Recursos de partido político";"N"
250000919236;"RICARDO WAGNER CAPUCHINHO FILHO";"#NULO";"PSDB";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS";"APTO";276402;425;"SUPLENTE";7517,07;"FUNDO PARTIDARIO, OUTROS RECURSOS";"Recursos de partido político, Recursos próprios";"N"
250000919211;"CARLOS ALBERTO DE QUADROS BEZERRA JUNIOR";"#NULO";"PSDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"MÉDICO";"APTO";1147544,92;34144;"ELEITO POR QP";193117,07;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos próprios, Recursos de pessoas físicas, Recursos de partido político";"N"
250000919242;"ADELSON ROSENBERG COELHO";"#NULO";"PSDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADMINISTRADOR";"APTO";5673743,21;1491;"SUPLENTE";10317,07;"FUNDO PARTIDARIO, OUTROS RECURSOS";"Recursos de partido político, Recursos próprios";"N"
250001154715;"ANDRE RICARDO DE SOUZA";"#NULO";"REDE";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PRETA";"MOTORISTA PARTICULAR";"APTO";NA;605;"NÃO ELEITO";8954,2;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos próprios, Recursos de partido político, Recursos de outros candidatos";"N"
250001154705;"GILBERTO DANIEL";"#NULO";"REDE";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"PUBLICITÁRIO";"APTO";20000;1;"NÃO ELEITO";4000;"FUNDO ESPECIAL, OUTROS RECURSOS";"Recursos de partido político, Recursos próprios";"N"
250001154725;"SILVIA MARIA CARNEIRO DE CAMPOS";"#NULO";"REDE";"FEMININO";"SUPERIOR COMPLETO";"SEPARADO(A) JUDICIALMENTE";"BRANCA";"ARQUITETO";"APTO";NA;667;"NÃO ELEITO";21233;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos de pessoas físicas, Recursos de partido político, Recursos de outros candidatos, Recursos de Financiamento Coletivo";"N"
250001154723;"ZYSMAN NEIMAN";"#NULO";"REDE";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"PROFESSOR DE ENSINO SUPERIOR";"APTO";1091877,13;686;"NÃO ELEITO";20812;"FUNDO ESPECIAL, OUTROS RECURSOS";"Recursos de partido político, Recursos de pessoas físicas, Recursos de Financiamento Coletivo";"N"
250001123276;"DALMO ALVES DE SOUZA VIANA";"#NULO";"PSB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";126845,42;1913;"SUPLENTE";91780;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos de pessoas físicas, Recursos de partido político, Recursos próprios";"N"
250001123205;"MASATAKA OTA";"#NULO";"PSB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"AMARELA";"VEREADOR";"APTO";1104410,69;9427;"SUPLENTE";113000;"FUNDO ESPECIAL, OUTROS RECURSOS";"Recursos de partido político, Recursos de pessoas físicas";"S"
250001123234;"JULIA GOMES PEREIRA BARBUIO";"#NULO";"PSB";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ASSISTENTE SOCIAL";"APTO";304000,1;326;"SUPLENTE";26516,94;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250001123229;"DOUGLAS RENE WITZEL";"#NULO";"PSB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"POLICIAL MILITAR";"APTO";NA;768;"SUPLENTE";17900;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos de pessoas físicas, Recursos próprios, Recursos de Financiamento Coletivo, Recursos de partido político";"N"
