"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"ST_REELEICAO";"BENS_TOTAL";"DS_SIT_TOT_TURNO";"TOTAL_VOTOS";"RECEITA_TOTAL";"FONTE_RECEITA";"ORIGEM_RECEITA"
250000058389;"CRISTIANE DE MOURA COELHO";"#NULO#";"PTN";"FEMININO";"ENSINO FUNDAMENTAL COMPLETO";"SEPARADO(A) JUDICIALMENTE";"PARDA";"AGENTE ADMINISTRATIVO";"APTO";"N";NA;"SUPLENTE";567;NA;NA;NA
250000058347;"FRANCISCO JOSE LANG FERNANDES DE OLIVEIRA";"#NULO#";"PTN";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"JORNALISTA E REDATOR";"APTO";"S";415484,16;"SUPLENTE";5865;90467,2;"Outros Recursos, Fundo Partidario";"Recursos de outros candidatos, Recursos de partido político"
250000008342;"REGINA MARILIA PRADO MANSSUR";"#NULO#";"PRB";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADVOGADO";"APTO";"N";1254865,61;"SUPLENTE";760;NA;NA;NA
250000011645;"NOVALTE ALVES DE SOUSA";"#NULO#";"PV";"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"CASADO(A)";"PARDA";"AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS";"APTO";"N";NA;"SUPLENTE";443;NA;NA;NA
250000038391;"GIVANILDO ALVES FERREIRA";"#NULO#";"PSDC";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"OPERADOR DE APARELHOS DE PRODUÇÃO INDUSTRIAL";"APTO";"N";NA;"NÃO ELEITO";338;668,32;"Fundo Partidario";"Recursos de partido político"
250000019195;"VERA MARISA DE SOUZA MACHADO FREITAS";"#NULO#";"PTB";"FEMININO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"BRANCA";"REPRESENTANTE COMERCIAL";"APTO";"N";NA;"SUPLENTE";106;NA;NA;NA
250000008322;"EDUARDO KRASILCHIK";"#NULO#";"PRB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";"N";2060000;"SUPLENTE";244;NA;NA;NA
250000010832;"DANILO ERRERIA CORTEZ DE SOUZA";"#NULO#";"PPS";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"SERVIDOR PÚBLICO MUNICIPAL";"APTO";"N";55460,9;"SUPLENTE";10918;NA;NA;NA
250000058403;"REGINALDO DA SILVA";"#NULO#";"PTN";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";"N";NA;"SUPLENTE";411;NA;NA;NA
250000008317;"DAVID OLIMPIO DA SILVA";"#NULO#";"PRB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PRETA";"MÚSICO";"APTO";"N";NA;"SUPLENTE";1333;NA;NA;NA
250000013956;"LIVIA MARIA RODRIGUES FIDELIX DA CRUZ";"#NULO#";"PRTB";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADMINISTRADOR";"APTO";"N";156174,19;"NÃO ELEITO";2224;43664,99;"Outros Recursos, Fundo Partidario";"Recursos de pessoas físicas, Recursos de partido político"
250000058374;"EDUARDO JOSÉ DE OLIVEIRA";"#NULO#";"PTN";"MASCULINO";"SUPERIOR INCOMPLETO";"CASADO(A)";"PARDA";"COMERCIANTE";"APTO";"N";3500;"SUPLENTE";630;NA;NA;NA
250000020826;"EDUARDO QUEIROZ RODRIGUES";"#NULO#";"PSD";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";"N";NA;"SUPLENTE";1793;NA;NA;NA
250000058402;"RAPHAEL MARCO BLECH HAMAOUI";"#NULO#";"PTN";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"VETERINÁRIO";"APTO";"N";278746,63;"SUPLENTE";3358;NA;NA;NA
250000013950;"LUCIO DIAS DE OLIVEIRA";"#NULO#";"PRTB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";"N";21500;"NÃO ELEITO";1391;2779,99;"Outros Recursos, Fundo Partidario";"Recursos de pessoas físicas, Recursos de partido político"
250000004994;"SUELY IZIDORO DE SOUZA";"#NULO#";"PSDB";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PARDA";"PROFESSOR DE ENSINO FUNDAMENTAL";"APTO";"N";395384,93;"SUPLENTE";957;34703,5;"Outros Recursos";"Recursos próprios, Recursos de outros candidatos, Recursos de pessoas físicas"
250000019163;"LUIZ CLAUDIO MACHADO";"#NULO#";"PTB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"OUTROS";"APTO";"N";4258,91;"SUPLENTE";158;NA;NA;NA
250000014906;"AKIKO AKIYAMA";"#NULO#";"PSOL";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"OUTROS";"APTO";"N";103441,78;"SUPLENTE";466;2713,57;"Outros Recursos, Fundo Partidario";"Recursos próprios, Recursos de pessoas físicas, Recursos de partido político"
250000006178;"CARMEN MIRANDA ALVES PEREIRA";"#NULO#";"PC do B";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"DONA DE CASA";"APTO";"N";NA;"NÃO ELEITO";34;4130,12;"Outros Recursos";"Recursos de pessoas físicas, Recursos de partido político"
250000011669;"JONAS PEREIRA";"#NULO#";"PV";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"GERENTE";"APTO";"N";22590;"SUPLENTE";1109;NA;NA;NA
250000050197;"ALFREDO DUQUE DE ALMEIDA FILHO";"#NULO#";"PSL";"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"CASADO(A)";"PARDA";"EMPRESÁRIO";"APTO";"N";350000;"NÃO ELEITO";3343;NA;NA;NA
250000040590;"LUIZ FERNANDO RODRIGO DE JESUZ";"#NULO#";"SD";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES";"APTO";"N";NA;"NÃO ELEITO";421;300;"Outros Recursos";"Recursos de pessoas físicas"
250000020776;"JORGE SIDERATOS";"#NULO#";"PMDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"POLICIAL MILITAR";"APTO";"N";NA;"SUPLENTE";443;NA;NA;NA
250000058396;"MOACYR MARTINS RODRIGUES";"#NULO#";"PTN";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADMINISTRADOR";"APTO";"N";306000,62;"SUPLENTE";1389;5416,6;"Fundo Partidario, Outros Recursos";"Recursos de partido político, Recursos de outros candidatos"
250000020798;"VICTOR ALEXANDRE PERINA";"#NULO#";"PMDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADVOGADO";"APTO";"N";101355,89;"SUPLENTE";7149;38922,05;"Outros Recursos, Fundo Partidario";"Recursos de outros candidatos, Recursos próprios, Recursos de pessoas físicas"
250000022081;"EDUARDO MATARAZZO SUPLICY";"#NULO#";"PT";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"PROFESSOR DE ENSINO SUPERIOR";"APTO";"N";3851361,78;"ELEITO POR QP";301446;207189,53;"Outros Recursos, Fundo Partidario";"Recursos de outros candidatos, Recursos próprios, Recursos de pessoas físicas, Doações pela Internet, Recursos de partido político"
250000014909;"TALITA LUZIA ALVES TECEDOR";"#NULO#";"PCB";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";"N";NA;"SUPLENTE";189;500;"Outros Recursos";"Recursos de pessoas físicas"
250000013967;"JOSE LUIZ GLADCHI";"#NULO#";"PRTB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";"N";NA;"NÃO ELEITO";92;NA;NA;NA
250000020814;"MARIA DAS GRAÇAS DOS SANTOS";"#NULO#";"PMDB";"FEMININO";"ENSINO MÉDIO INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"APTO";"N";280000;"SUPLENTE";62;NA;NA;NA
250000038327;"ELIAS SKAF";"#NULO#";"PSDC";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"JORNALISTA E REDATOR";"APTO";"N";74161,7;"NÃO ELEITO";1093;NA;NA;NA
250000011006;"GILMARA VANZO CRISTÃO";"#NULO#";"PP";"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"TAXISTA";"APTO";"N";1124000;"SUPLENTE";573;NA;NA;NA
250000004977;"VINÍCIUS ALVES SCHAEFER";"#NULO#";"PSDB";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"PROFESSOR DE ENSINO SUPERIOR";"APTO";"N";15000;"SUPLENTE";9657;6034,4;"Outros Recursos";"Recursos próprios, Recursos de partido político, Recursos de pessoas físicas"
250000020824;"CICERO FIRMINO DA SILVA";"#NULO#";"PSD";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS";"APTO";"N";NA;"SUPLENTE";2746;NA;NA;NA
250000014884;"SILVINEIDE SANTANA SANTOS";"#NULO#";"PSOL";"FEMININO";"ENSINO MÉDIO INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";"N";23000;"SUPLENTE";102;NA;NA;NA
250000038412;"MOACYR FIRMINO DOS SANTOS";"#NULO#";"PSDC";"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"DIVORCIADO(A)";"PRETA";"MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS";"APTO";"N";4e+05;"NÃO ELEITO";2307;NA;NA;NA
250000011688;"EDSON VIEIRA NOVA JUNIOR";"#NULO#";"PV";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"SERVIDOR PÚBLICO ESTADUAL";"APTO";"N";63051,01;"SUPLENTE";431;NA;NA;NA
250000011687;"MARIA CRISTINA DE PAULA LEITE GOUVEA";"#NULO#";"PV";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"EMPRESÁRIO";"APTO";"N";24927,39;"SUPLENTE";355;500;"Outros Recursos";"Doações pela Internet"
250000008366;"RINALDI CÉSAR DIGILIO";"#NULO#";"PRB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";"N";2023339,48;"ELEITO POR MÉDIA";20916;191630;"Outros Recursos, Fundo Partidario";"Recursos de pessoas físicas, Recursos de partido político, Recursos próprios"
250000010871;"GILMAR CURTOLO";"#NULO#";"PHS";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";"N";1971701,88;"SUPLENTE";4577;119000;"Outros Recursos";"Recursos próprios, Recursos de pessoas físicas"
250000005814;"WAGNER DE LEO PAEZ";"#NULO#";"NOVO";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";"N";581281,44;"SUPLENTE";1100;10000;"Outros Recursos";"Recursos próprios"
250000062813;"TALES NÓBREGA LOMBARDI";"#NULO#";"PATRIOTA";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"PILOTO DE AVIAÇÃO COMERCIAL, NAVEGADOR, MECÂNICO DE VÔO E ASSEMELHADOS";"APTO";"N";329637;"NÃO ELEITO";936;500;"Outros Recursos";"Recursos próprios"
250000010909;"EDILENE MARIA MAZER DOS SANTOS";"#NULO#";"PHS";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS";"APTO";"N";NA;"SUPLENTE";516;NA;NA;NA
250000050146;"ANDRÉ LUIZ ZEFERINO";"#NULO#";"PSL";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"VIGILANTE";"APTO";"N";NA;"NÃO ELEITO";407;NA;NA;NA
250000020806;"HAROLDO LOPES DA SILVA";"#NULO#";"PMDB";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"PSICÓLOGO";"APTO";"N";132500;"SUPLENTE";1010;1000;"Outros Recursos";"Recursos de pessoas físicas"
250000020781;"ANTONIO MOREIRA DE SOUZA";"#NULO#";"PMDB";"MASCULINO";"SUPERIOR COMPLETO";"VIÚVO(A)";"PARDA";"SERVIDOR PÚBLICO CIVIL APOSENTADO";"APTO";"N";136916,2;"SUPLENTE";856;4800;"Outros Recursos";"Recursos próprios, Recursos de pessoas físicas"
250000010904;"SHEILA MONTEIRO VERVLOET";"#NULO#";"PHS";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"BIOMÉDICO";"APTO";"N";96274,58;"SUPLENTE";270;4181,05;"Outros Recursos";"Recursos próprios, Recursos de pessoas físicas, Recursos de outros candidatos"
250000008309;"FRANCISCO SCARPA FILHO";"#NULO#";"PRB";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"EMPRESÁRIO";"APTO";"N";2023696,25;"SUPLENTE";5140;NA;NA;NA
250000015101;"SERGIO PINTO BOMFIM";"#NULO#";"REDE";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"OUTROS";"APTO";"N";9049,19;"NÃO ELEITO";718;NA;NA;NA
250000010990;"CAIO MIRANDA CARNEIRO";"#NULO#";"PSB";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADVOGADO";"APTO";"N";NA;"SUPLENTE";23459;60681,87;"Outros Recursos";"Recursos próprios, Recursos de pessoas físicas, Recursos de outros candidatos"
250000058345;"FERNANDA KARINA RAMOS SOMAGGIO";"#NULO#";"PTN";"FEMININO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"BRANCA";"SECRETÁRIO E DATILÓGRAFO";"APTO";"N";NA;"SUPLENTE";692;2642,2;"Outros Recursos";"Recursos de pessoas físicas, Recursos de outros candidatos"
250000005808;"FABIO JOSE PANDO";"#NULO#";"NOVO";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";"N";850320,52;"SUPLENTE";3618;8550;"Outros Recursos";"Recursos de pessoas físicas"
